country_code,country_name,year,co2_value
CHN,China,2019,10707219.73
USA,United States,2019,4817720.215
IND,India,2019,2456300.049
RUS,Russian Federation,2019,1703589.966
JPN,Japan,2019,1081569.946
DEU,Germany,2019,657400.0244
IRN,"Iran, Islamic Rep.",2019,630010.0098
IDN,Indonesia,2019,619840.0269
KOR,"Korea, Rep.",2019,610789.978
